d,outFlows
2015-06-09,192711.906
2015-06-10,192174.464
2015-06-11,199898.318
2015-06-12,196094.533
2015-06-13,147225.494
2015-06-14,223188.318
2015-06-15,281690.726
2015-06-16,358062.826
2015-06-17,343179.234
2015-06-18,295602.138
2015-06-19,399426.847
2015-06-20,176871.492
2015-06-21,144544.21
2015-06-22,170704.936
2015-06-23,225078.316
2015-06-24,196497.601
2015-06-25,138170.006
2015-06-26,297548.282
2015-06-27,223719.845
2015-06-28,122666.984
2015-06-29,202718.708
2015-06-30,258338.326
2015-07-01,200369.073
2015-07-02,201310.073
2015-07-03,221275.8
2015-07-04,168257.253
2015-07-05,288378.114
2015-07-06,276334.751
2015-07-07,171470.722
2015-07-08,158049.931
2015-07-09,185890.316
2015-07-10,319503.691
2015-07-11,186443.972
2015-07-12,182600.693
2015-07-13,199487.978
2015-07-14,182960.043
2015-07-15,193177.067
